직종,성명,선정년도,대표사업장명,지역,주소,대표품목,위도,경도,네이버플레이스
요리,조우현,2017,플로라,경기,경기도 고양시 덕양구 서오릉로 307-10,"파스타, 피자, 스테이크,카페,베이커리",37.6199794,126.9024396,https://map.naver.com/p/entry/place/1860773989
요리,천덕상,2022,갈비도락 서오릉점,경기,"경기도 고양시 덕양구 서오릉로 414 1, 2층","양념갈비, 함흥냉면",37.6276128,126.8951222,https://map.naver.com/p/entry/place/1020808981
제과·제빵,최형일,2022,엘리제과자점 삼송점,경기,경기도 고양시 덕양구 통일로 228-6,베이커리,37.6563118,126.8982992,https://map.naver.com/p/entry/place/1943728714
요리,왕철주,2024,강강술래 늘봄점,경기,경기도 고양시 덕양구 호국로 1526-3,"한우, 양념갈비, 한식 반찬, 간편조리식, F&B 상품 등",37.6877018,126.9012295,https://map.naver.com/p/entry/place/20762152
요리,왕철주,2024,카페 풍경으로,경기,경기도 고양시 덕양구 호국로 1526-8,"한우, 양념갈비, 한식 반찬, 간편조리식, F&B 상품 등",37.6618246,126.8599831,https://map.naver.com/p/entry/place/1357722500
요리,왕철주,2024,고인돌 해장국,경기,경기도 고양시 덕양구 호국로 1532 1층 고인돌해장국,"한우, 양념갈비, 한식 반찬, 간편조리식, F&B 상품 등",37.6880212,126.901159,https://map.naver.com/p/entry/place/1703674195
요리,조우현,2017,우미대가왕쭈꾸미,경기,경기도 고양시 덕양구서오릉로 307-8,"쭈꾸미, 불고기, 파스타, 피자",37.6199583,126.902235,https://map.naver.com/p/entry/place/36132825
요리,천덕상,2022,훈장골 일산식사점,경기,경기도 고양시 일산동구 고일로 10,"양념갈비, 함흥냉면",37.672867,126.80474,https://map.naver.com/p/entry/place/38254902
요리,천덕상,2022,갈비도락 탄현점,경기,경기도 고양시 일산서구 탄현로 120,"양념갈비, 함흥냉면",37.7021555,126.767781,https://map.naver.com/p/entry/place/1295659115
제과·제빵,송영광,2014,명장10 베이커리,경기,경기도 고양시 일산서구 하이파크로 145 명장10 베이커리,베이커리,37.7036815,126.7568482,https://map.naver.com/p/entry/place/1241505459
제과·제빵,안창현,2009,안스베이커리 일산점,경기,경기도 고양시 일산서구 한류월드로 300 1100호,베이커리,37.6637566,126.7537395,https://map.naver.com/p/entry/place/1867022622
요리,천덕상,2022,촌장골 광명점,경기,경기도 광명시 소하로109번길 16,"양념갈비, 함흥냉면",37.4473344,126.8854901,https://map.naver.com/p/entry/place/19932785
